province,year,5G基站数（万个）,5g基站数（万座）,AQI,GDP（亿元）,PM2.5 年均浓度（微克/立方米）,co,co2排放量（百万吨）,gdp(亿元),pm10,pm2.5,人均GDP（元）,充电基础设施总量（万台）,光伏利用率（%）,光缆线路长度(公里),全社会用电量（亿千瓦时）,公共充电桩,可再生能源装机占比（%）,固定互联网宽带接入用户（万户）,固定宽带接入用户（万户）,城乡居民生活用电（万千瓦时）,宽带接入用户数（万户）,年末常住人口（万人）,快递业务收入,快递业务收入（亿元）,快递总量,快递总量（亿件）,快递收入占全省比重,快递量占全省比重,总GDP（亿元）,总量同比增长,收入同比增长,数字经济核心产业增加值占GDP比重,新能源汽车保有量（万辆）,机动车保有量（万辆）,物联网终端用户数（万户）,物联网终端用户（亿户）,电力市场交易电量（万亿千瓦时）,电力市场交易电量（亿千瓦时）,社会总用电量（万千瓦时）,社会总用电量（亿千瓦时）,移动互联网用户数(万户),空气质量优良天数比率,第一产业,第三产业,第二产业,绿电交易电量（亿千瓦时）,绿证交易量（万张）,绿证交易量（亿个）,规上工业综合能耗（万吨标准煤）,软件业务收入（亿元）,风电利用率（%）,高新技术产业产值占规上工业比重
allcountry,2025,484.0,,,,,,,,,,,2009.2,95.0,,,,60.0,,69082.0,,,,,,,,,,,,,,,,,28.88,6.6394,,,,,,,,,3285.0,,9.3,,154831.0,94.0,
allcountry,2024,425.0,,,,,,,,,,,1281.8,96.8,,,,56.0,,66983.0,,,,,,,,,,,,,,,,,26.56,6.18,,,,,,,,,2336.0,,4.46,,137276.0,95.9,
allcountry,2023,338.0,,,,,,,,,,,859.6,98.0,,,,51.9,,63631.0,,,,,,,,,,,,,,,,,23.32,5.67,,,,,,,,,697.0,,,,123258.0,97.3,
allcountry,2022,231.0,,,,,,,,,,,520.0,98.0,,,,47.3,,58965.0,,,,,,,,,,,,,,,,,18.45,5.25,,,,,,,,,181.0,,0.0969,,108126.0,97.0,
allcountry,2021,143.0,,,,,,,,,,,261.7,98.0,,,,44.8,,53579.0,,,,,,,,,,,,,,,,,13.99,3.78,,,,,,,,,87.0,,,,94994.0,96.9,
allcountry,2020,71.8,,,,,,,,,,,168.1,98.25,,,,42.4,,48355.0,,,,,,,,,,,,,,,,,11.36,3.17,,,,,,,,,,,,,81616.0,97.0,
allcountry,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allcountry,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiangsu,2025,,,,,,,,,,,167040.0,,,,8895.41,,,,,,,,,1083.9,,157.9,,,142351.5,0.135,0.066,,,,,,,,,8895.4,,,5369.7,76943.7,60038.2,,,,,,,
jiangsu,2024,,29.4,,137008.0,32.3,,,137008.0,,,160694.0,,,4808436.27,8486.93,306987.0,,4891.3,,,4891.34,8526.0,,1017.1,,139.2,,,136696.9,0.19,0.094,0.118,269.1,2545.5,,,,4700.0,,8486.9,9520.4,,5240.6,72551.3,58905.0,126.57,385.0,,,,,0.507
jiangsu,2023,,24.3,,128222.2,33.0,,,130924.3,,,153658.0,,,4508664.0,7832.96,217913.0,,4754.6,,,4754.55,8526.0,,894.8,,99.5,,,130924.3,0.142,0.089,0.114,,2456.3,28000.0,,,4408.0,,7833.0,9386.5,0.796,5075.9,68518.6,57329.8,52.0,,,,,,0.499
jiangsu,2022,,18.7,,122875.6,32.0,,,124564.2,,,146374.0,,,4257821.08,7399.55,129677.0,,4451.6,,10152500.0,4451.59,8515.0,,821.3,,87.1,,,124564.2,0.012,0.042,,,2305.8,23000.0,,,4210.0,,7399.55,9039.37,,4963.9,64256.9,55343.4,24.24,76.0,,,,,
jiangsu,2021,,13.0,,116364.2,33.0,,817.68,119853.2,,,141153.0,,,4158883.29,7101.16,97265.0,,4071.6,,8714492.0,4071.61,8505.0,,788.4,,86.1,,,119853.2,0.234,0.112,,,,,,,3461.53,,7101.16,8753.62,0.824,4719.1,61558.4,53575.8,13.69,,,,,,
jiangsu,2020,,7.1,,102719.0,,,773.97,104566.6,,,123411.0,,,3990069.02,6373.71,77053.0,,3756.8,,7977014.0,3756.83,8477.0,,708.9,,69.8,,,104566.6,0.215,0.145,,,,15000.0,,,2995.0,,6373.71,8428.67,,4537.6,54637.6,45391.4,,,,,,,
jiangsu,2019,,,,,,,800.8,99836.9,,,118045.0,,,3679239.34,,60509.0,,,,7674830.0,3585.74,8469.0,,619.0,,57.4,,,99836.9,0.308,0.287,,,,,,,3084.84,,6264.36,8452.6,,4297.2,51258.3,44281.4,,,,,,,
jiangsu,2018,,,,,,,764.05,93456.3,,,110802.0,,,3511780.79,,33809.0,,,,7582730.0,3351.87,8446.0,,480.9,,43.9,,,93456.3,0.221,0.178,,,,9210.8,,,1951.0,,6128.27,7979.54,,4141.7,47185.2,42129.4,,,,,,,
jiangsu,2017,,,,,,,757.88,86512.9,,,102961.0,,,3248411.28,,22075.0,,,,6843172.0,3106.15,8423.0,,408.2,,36.0,,,86512.9,0.267,0.203,,,,,,,1265.0,,5807.89,9257.65,,4045.2,43343.6,39124.1,,,,,,,
jiangsu,2016,,,,,,,743.04,78261.2,,,93748.0,,,2939497.74,,,,,,6195394.0,2685.24,8381.0,,339.2,,28.4,,,78261.2,0.239,0.167,,,,,,,595.0,,5458.95,7436.86,,4039.8,39180.0,35041.5,,,,,,,
jiangsu,2015,,,,,,,721.65,71876.0,,,86618.0,,,2511542.63,,,,,,5291965.0,2183.06,8315.0,,290.7,,22.9,,,71876.0,0.543,0.446,,,,,,,220.0,,5114.7,6728.9,,3952.5,34551.8,33371.8,,,,,,,
jiangsu,2014,,,,,,,708.24,66228.3,,,80408.0,,,2081008.46,,,,,,4968715.0,1523.35,8281.0,,201.1,,14.8,,,66228.3,0.508,0.406,,,,,,,65.4,,5012.54,6345.36,,3607.4,31572.0,31048.8,,,,,,,
jiangsu,2013,,,,,,,706.62,60505.2,,,74185.0,,,1735687.0,,,,,,5470800.0,1431.35,8192.0,,143.0,,9.8,,,60505.2,0.541,0.383,,,,,,,12.83,,4956.62,,,3447.5,27908.3,29149.4,,,,,,,
jiangsu,2012,,,,,,,656.74,54658.4,,,67718.0,,,1567816.75,,,,,,4688590.0,1406.4,8120.0,,,,,,,54658.4,,,,,,,,,13.16,,4580.9,,,3241.4,24266.2,27150.8,,,,,,,
jiangsu,2011,,,,,,,593.25,49689.5,,,62534.0,,,,,,,,,4082109.0,1221.19,8023.0,,,,,,,49689.5,,,,,,,,,,,4281.62,,,2908.8,21549.5,25231.2,,,,,,,
nanjing,2025,,,68.852,,,0.595,,,53.049,28.085,202220.0,,,,,,,,,,,,125.9,,14.3,,0.1161546268105914,0.09056364787840405,19428.78,0.083,0.063,,,,,,,,8895.4,,,,338.5,13217.21,5873.07,,,,,,,
nanjing,2024,,,70.06,,28.3,0.575,,,48.399,28.596,193483.0,,,,803.2,,,,,,,,118.4,,13.2,,0.116,0.095,18500.81,0.157,0.099,,,359.69,,,,,8032000.0,,,0.858,331.0,12338.75,5831.06,,,,3927.85,,,
nanjing,2023,,,74.764,,29.0,0.623,,,59.318,29.811,183015.0,,,,747.27,,,637.99,,,,,104.7,,9.8,,0.117,0.098,17796.4,0.069,0.111,,,338.8,,,,,7472700.0,,,0.819,317.75,11174.65,5929.0,,,,,,,
nanjing,2022,,,74.8,,28.0,0.593,,,49.997,27.384,178781.0,,,,724.46,,,624.39,,,,,94.2,,9.2,,0.1146962133203458,0.1056257175660161,16907.85,0.0,0.04783092324805338,,,320.33,,,,,7244600.0,,,0.797,315.56,10522.65,6069.64,,,,3701.44,,,
nanjing,2021,,,73.151,,29.0,0.684,,,53.255,27.825,174520.0,,,,683.57,,,589.54,,,,,89.9,,9.2,,0.1140284119736175,0.1068524970963995,16355.32,-0.03157894736842115,-0.1613805970149254,,,,,,,,6835698.0,,,0.819,303.94,10148.73,5902.65,,,,,,,
nanjing,2020,,,73.202,,31.3,0.781,,,56.262,31.391,158944.0,,,,632.94,,,554.17,,,,,107.2,,9.5,,0.15122020031034,0.1361031518624642,14782.95,0.07954545454545436,0.058242843040474,,,291.35,,,,,6329425.0,,,0.831,296.8,9306.8,5179.35,,,,3794.49,,,
nanjing,2019,,,85.038,,,0.813,,,71.83,40.255,151630.0,,,,,,,,,,,,101.3,,8.8,,0.1636510500807754,0.1533101045296167,14045.15,0.142857142857143,0.168396770472895,,,,,,,,6215283.0,,,,287.82,8716.48,5040.85,,,,,,,
nanjing,2018,,,78.241,,,0.68,,,68.978,40.266,141129.0,,,,,,,,,,,,86.7,,7.7,,0.1802869619463506,0.1753986332574032,13009.17,0.2222222222222223,0.1732070365358591,,,,,,,,6064005.0,,,,276.34,7966.52,4766.31,,,,,,,
nanjing,2017,,,86.488,,,1.055,,,75.504,39.441,129784.0,,,,,,,,,635088.0,,,73.9,,6.3,,0.1810387065164135,0.175,11894.0,0.3404255319148934,0.2194719471947195,,,,,,,,5569607.0,,,,263.01,7179.03,4451.96,,,,,,,
nanjing,2016,,,90.254,,,1.09,,,86.036,47.724,119484.0,,,,,,,,,764493.0,,,60.6,,4.7,,0.1786556603773585,0.1654929577464789,10819.14,-0.05999999999999994,0.008319467554076532,,,,,,,,5247863.0,,,,252.54,6395.05,4171.55,,,,,,,
nanjing,2015,,,95.474,,,0.973,,,96.778,56.567,112149.0,,,,,,,,,653471.0,,,60.1,,5.0,,0.207,0.219,10015.73,0.77,0.46,,,,,,,,4951753.0,,,,232.4,5802.29,3981.04,,,,,,,
nanjing,2014,,,106.214,,,0.901,,,123.57,73.918,101860.0,,,,,,,,,607393.0,,,41.2,,2.8,,0.205,0.191,8956.05,0.3999999999999999,0.5091575091575091,,,,,,,,4704973.0,,,,214.25,5045.46,3696.34,,,,,,,
nanjing,2013,,,,,,,,,,,94967.0,,,,,,,,,675488.0,,,27.3,,2.0,,0.191,0.2,8199.49,,,,,,,,,,4626718.0,,,,195.29,4476.87,3527.33,,,,,,,
nanjing,2012,,,,,,,,,,,85695.0,,,,,,,,,560073.0,,,,,,,,,7306.54,,,,,,,,,,4249554.0,,,,185.06,3891.81,3229.67,,,,,,,
nanjing,2011,,,,,,,,,,,75570.0,,,,,,,,,495343.0,,,,,,,,,6230.2,,,,,,,,,,3997431.0,,,,164.27,3258.82,2807.11,,,,,,,
suzhou,2025,,,72.395,,,0.594,,,52.364,29.312,206000.0,,,,,,,,,,,,341.5,,44.0,,0.3150659654949718,0.2786573780873971,27695.1,0.171,0.09,,,,,,,,,,,,208.9,14641.8,12844.4,,,,,,,
suzhou,2024,,,70.77,,,0.701,,,48.489,29.686,190605.0,,,,1863.3,,,802.0,,,,,313.4,,37.5,,0.308,0.27,26666.5,0.206,0.105,,62.7,,,,,,,,,,202.0,14008.3,12516.7,,,,,,,0.547
suzhou,2023,,,74.868,,,0.715,,,55.945,31.433,184835.0,,,,1719.3,,,757.46,,,,,277.8,,27.9,,0.31,0.281,25513.4,0.147,0.116,,39.7,537.2,,,,,,,,,195.22,12916.77,11541.38,,,,,,,0.527
suzhou,2022,,,72.715,,,0.662,,,44.348,28.233,181020.0,,,,1661.7,,,735.35,,,,,249.0,,24.3,,0.303177888713016,0.2789896670493686,23805.29,-0.0161943319838056,0.0146699266503667,,23.3,507.3,,,,,,,,,192.73,12109.05,11503.51,,,,,,,0.524
suzhou,2021,,,70.63,,,0.677,,,46.521,27.082,158544.8,,,,1685.3,,,684.8,,,,,245.4,,24.7,,0.3112633181126332,0.2868757259001162,23168.21,0.1761904761904762,0.04692832764505117,,11.6,,,,,,7582773.0,,,,189.73,11876.12,11102.36,,,,,,,0.525
suzhou,2020,,,73.596,,,0.672,,,47.967,33.21,151844.38,,,,1523.3,,,,,,,,234.4,,21.0,,0.3306531245591762,0.3008595988538682,20180.45,0.2138728323699421,0.08118081180811809,,,,,,,,6769400.0,,,,196.4,10598.47,9385.58,,,,,,,
suzhou,2019,,,79.293,,,0.635,,,59.444,39.46,144455.84,,,,,,,,,,,,216.8,,17.3,,0.3502423263327948,0.3013937282229965,19264.8,0.3840000000000001,0.391527599486521,,,,,,,,6916941.0,,,,196.7,9937.92,9130.18,,,,,,,
suzhou,2018,,,76.123,,,0.658,,,60.548,39.148,135138.66,,,,,,,,,,,,155.8,,12.5,,0.3239758785610314,0.2847380410022779,18263.48,0.2019230769230769,0.1749622926093515,,,,,,,,6961903.0,,,,214.25,9130.9,8918.33,,,,,,,
suzhou,2017,,,85.4,,,0.893,,,63.353,41.603,124347.46,,,,,,,,,743590.0,,,132.6,,10.4,,0.3248407643312102,0.2888888888888889,16997.47,0.223529411764706,0.1621384750219106,,,,,,,,6618411.0,,,,221.98,8557.66,8217.83,,,,,,,
suzhou,2016,,,86.44,,,0.949,,,74.202,46.396,117961.45,,,,,,,,,581018.0,,,114.1,,8.5,,0.3363797169811321,0.2992957746478873,15445.26,0.517857142857143,0.2892655367231638,,,,,,,,6069996.0,,,,221.81,7788.84,7434.61,,,,,,,
suzhou,2015,,,91.279,,,0.922,,,80.923,57.805,113554.67,,,,,,,,,500268.0,,,88.5,,5.6,,0.305,0.246,14468.68,0.526,0.407,,,,,,,,5679415.0,,,,215.71,7002.44,7250.53,,,,,,,
suzhou,2014,,,95.216,,,0.93,,,90.14,66.153,109911.13,,,,,,,,,461407.0,,,62.9,,3.7,,0.313,0.249,13716.95,0.3214285714285716,0.2554890219560877,,,,,,,,5454612.0,,,,203.98,6430.48,7082.49,,,,,,,
suzhou,2013,,,,,,,,,,,105411.73,,,,,,,,,521894.0,,,50.1,,2.8,,0.35,0.288,12929.78,,,,,,,,,,5492795.0,,,,193.29,5783.42,6953.07,,,,,,,
suzhou,2012,,,,,,,,,,,98901.43,,,,,,,,,456214.0,,,,,,,,,11965.76,,,,,,,,,,5140791.0,,,,176.53,5107.16,6682.07,,,,,,,
suzhou,2011,,,,,,,,,,,,,,,,,,,,323710.0,,,,,,,,,10670.08,,,,,,,,,,4780971.0,,,,161.02,4418.21,6090.85,,,,,,,
